,Price
28,0.0334
11,0.036
45,0.0331
62,0.0367
27,0.0388
10,0.0389
44,0.0412
61,0.0381
26,0.0355
9,0.034
43,0.0333
60,0.0357
25,0.035
8,0.036
42,0.036
59,0.0422
24,0.0433
7,0.0455
41,0.043
58,0.0379
23,0.0342
6,0.0351
40,0.0347
57,0.0309
22,0.0295
5,0.0291
39,0.028
56,0.0274
21,0.0348
4,0.0336
38,0.0363
55,0.0392
20,0.0365
3,0.0394
37,0.0353
54,0.0353
19,0.0342
2,0.0313
36,0.0318
53,0.0328
18,0.0251
1,0.0305
35,0.0297
52,0.0319
17,0.0318
0,0.0323
34,0.0285
51,0.0298
33,0.0436
16,0.0465
50,0.0355
67,0.0317
32,0.0305
15,0.0313
49,0.0339
66,0.0297
31,0.0364
14,0.0308
48,0.0436
65,0.0452
30,0.0408
13,0.043
47,0.0459
64,0.0298
29,0.0318
12,0.031
46,0.0355
63,0.037
