,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600538,2005-01-01,A,1045188190.0,523048709.6,522139480.6,432054422.5,90994287.15,北海国发,01,477551566.075
5,600538,2006-01-01,A,1267654937.0,716352703.3,551302233.9,671400216.2,44952487.15,北海国发,01,693876459.7750001
10,600538,2007-01-01,A,1303254115.0,771653346.8,531600768.6,742362940.4,29290406.41,北海国发,01,757008143.605
15,600538,2008-01-01,A,1308200304.0,815306255.6,492894048.7,771442494.1,43863761.5,北海国发,01,793374374.85
20,600538,2009-01-01,A,1207207438.0,881780947.2,325426491.0,855727947.2,26053000.0,北海国发,01,868754447.2
25,600538,2010-01-01,A,943959531.0,735560644.7,208398886.3,720514731.9,15045912.87,北海国发,01,728037688.3349999
30,600538,2011-01-01,A,706756670.7,481287618.9,225469051.8,477134706.0,4152912.87,北海国发,01,479211162.435
35,600538,2012-01-01,A,696542540.8,504930916.9,191611624.0,502840916.9,2090000.0,北海国发,01,503885916.9
1,600538,2005-03-31,A,1133162112.0,603825541.4,529336570.8,512831254.3,90994287.15,北海国发,03,558328397.875
6,600538,2006-03-31,A,1304631941.0,746964660.5,557667280.3,702070863.0,44893797.52,北海国发,03,724517761.76
11,600538,2007-03-31,A,1343788385.0,809734070.8,534054313.9,780609383.6,29124687.21,北海国发,03,795171727.205
16,600538,2008-03-31,A,1336572015.0,858454001.5,478118013.8,818205596.7,40248404.71,北海国发,03,838329799.0550001
21,600538,2009-03-31,A,1194413526.0,891564005.2,302849521.2,868561005.2,23003000.0,北海国发,03,880062505.2
26,600538,2010-03-31,A,915849628.4,701292030.9,214557597.5,676246118.0,25045912.87,北海国发,03,688769074.435
31,600538,2011-03-31,A,676644758.7,457990244.8,218654513.9,453837332.0,4152912.87,北海国发,03,455913788.435
36,600538,2012-03-31,A,723524547.3,530812946.6,192711600.7,528722946.6,2090000.0,北海国发,03,529767946.6
2,600538,2005-06-30,A,1248213017.0,708842196.9,539370820.5,617874450.2,90967746.66,北海国发,06,663358323.5300001
7,600538,2006-06-30,A,1317777865.0,755328811.0,562449054.3,710415652.8,44913158.19,北海国发,06,732872231.895
12,600538,2007-06-30,A,1663769651.0,1122480726.0,541288925.7,1063413775.0,59066950.96,北海国发,06,1092947250.48
17,600538,2008-06-30,A,1353656667.0,877753899.9,475902766.8,840368899.9,37385000.0,北海国发,06,859061399.9
22,600538,2009-06-30,A,1171284235.0,899750944.9,271533290.5,876747944.9,23003000.0,北海国发,06,888249444.9
27,600538,2010-06-30,A,893507145.2,705654542.8,187852602.4,685948630.0,19705912.87,北海国发,06,695801586.435
32,600538,2011-06-30,A,673927790.8,464229723.3,209698067.5,458939392.5,5290330.84,北海国发,06,461584557.92
37,600538,2012-06-30,A,699970705.0,521735852.5,178234852.6,519645852.5,2090000.0,北海国发,06,520690852.5
3,600538,2005-09-30,A,1264556754.0,719726689.4,544830064.9,627471860.9,92254828.44,北海国发,09,673599275.12
8,600538,2006-09-30,A,1262234169.0,706167699.6,556066469.2,661231985.6,44935713.95,北海国发,09,683699842.575
13,600538,2007-09-30,A,1585035127.0,1040127301.0,544907825.5,984267063.2,55860238.28,北海国发,09,1012197182.34
18,600538,2008-09-30,A,1328358655.0,875481763.0,452876891.6,841846763.0,33635000.0,北海国发,09,858664263.0
23,600538,2009-09-30,A,1151898428.0,913110573.2,238787854.3,893857573.2,19253000.0,北海国发,09,903484073.2
28,600538,2010-09-30,A,876457646.2,692795447.9,183662198.3,673089535.0,19705912.87,北海国发,09,682942491.435
33,600538,2011-09-30,A,674169811.2,467241392.1,206928419.0,461951061.3,5290330.84,北海国发,09,464596226.72
38,600538,2012-09-30,A,702468254.4,531411811.5,171056442.9,529321811.5,2090000.0,北海国发,09,530366811.5
