,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600179,2005-01-01,A,1761264199.0,896847093.9,864417105.2,892347093.9,4500000.0,黑化股份,01,894597093.9
5,600179,2006-01-01,A,1753203451.0,874563675.1,878639775.9,874563675.1,0.0,黑化股份,01,874563675.1
10,600179,2007-01-01,A,1783394813.0,886198320.3,897196492.6,881818320.3,4380000.0,黑化股份,01,884008320.3
15,600179,2008-01-01,A,1750147357.0,841129175.1,909018182.0,836749175.1,4380000.0,黑化股份,01,838939175.1
20,600179,2009-01-01,A,1973760013.0,1118970902.0,854789111.1,1114590902.0,4380000.0,黑化股份,01,1116780902.0
25,600179,2010-01-01,A,1840654235.0,1216143038.0,624511196.9,1127753038.0,88390000.0,黑化股份,01,1171948038.0
30,600179,2011-01-01,A,1766986282.0,1120687806.0,646298476.2,1045537806.0,75150000.0,黑化股份,01,1083112806.0
35,600179,2012-01-01,A,1325795037.0,1047779335.0,278015702.3,997629334.6,50150000.0,黑化股份,01,1022704334.6
1,600179,2005-03-31,A,1831997310.0,964067995.3,867929314.5,959567995.3,4500000.0,黑化股份,03,961817995.3
6,600179,2006-03-31,A,1892721736.0,1010535539.0,882186197.1,1010535539.0,0.0,黑化股份,03,1010535539.0
11,600179,2007-03-31,A,1843433494.0,942593165.7,900840328.8,938213165.7,4380000.0,黑化股份,03,940403165.7
16,600179,2008-03-31,A,1748686518.0,832495792.2,916190725.8,828115792.2,4380000.0,黑化股份,03,830305792.2
21,600179,2009-03-31,A,1862648600.0,1024790032.0,837858568.5,1020410032.0,4380000.0,黑化股份,03,1022600032.0
26,600179,2010-03-31,A,1938002316.0,1328298253.0,609704062.7,1239908253.0,88390000.0,黑化股份,03,1284103253.0
31,600179,2011-03-31,A,1725119537.0,1150468115.0,574651421.8,1075318115.0,75150000.0,黑化股份,03,1112893115.0
36,600179,2012-03-31,A,1562419718.0,1343560750.0,218858968.9,1293410750.0,50150000.0,黑化股份,03,1318485750.0
2,600179,2005-06-30,A,1780143631.0,905503025.2,874640605.8,896623025.2,8880000.0,黑化股份,06,901063025.2
7,600179,2006-06-30,A,1871572115.0,985518733.0,886053381.5,985518733.0,0.0,黑化股份,06,985518733.0
12,600179,2007-06-30,A,1794690592.0,890083383.5,904607208.6,885703383.5,4380000.0,黑化股份,06,887893383.5
17,600179,2008-06-30,A,1804632505.0,876322579.6,928309925.8,871942579.6,4380000.0,黑化股份,06,874132579.6
22,600179,2009-06-30,A,1975141438.0,1160633154.0,814508283.4,1156253154.0,4380000.0,黑化股份,06,1158443154.0
27,600179,2010-06-30,A,1812116042.0,1269070236.0,543045805.8,1180680236.0,88390000.0,黑化股份,06,1224875236.0
32,600179,2011-06-30,A,1701422081.0,1214757183.0,486664897.7,1152107183.0,62650000.0,黑化股份,06,1183432183.0
37,600179,2012-06-30,A,1611975474.0,1373326616.0,238648857.5,1335676616.0,37650000.0,黑化股份,06,1354501616.0
3,600179,2005-09-30,A,1825926134.0,947597758.5,878328375.7,938717758.5,8880000.0,黑化股份,09,943157758.5
8,600179,2006-09-30,A,1806527705.0,919315374.8,887212330.6,919315374.8,0.0,黑化股份,09,919315374.8
13,600179,2007-09-30,A,1811965347.0,905203893.6,906761453.6,900823893.6,4380000.0,黑化股份,09,903013893.6
18,600179,2008-09-30,A,1904910753.0,962448127.2,942462625.3,958068127.2,4380000.0,黑化股份,09,960258127.2
23,600179,2009-09-30,A,1909014216.0,1127244861.0,781769355.3,1115102861.0,12142000.0,黑化股份,09,1121173861.0
28,600179,2010-09-30,A,1767758388.0,1246878727.0,520879661.6,1158488727.0,88390000.0,黑化股份,09,1202683727.0
33,600179,2011-09-30,A,1627343714.0,1177075660.0,450268054.1,1114425660.0,62650000.0,黑化股份,09,1145750660.0
38,600179,2012-09-30,A,1600933395.0,1361342162.0,239591233.4,1323692162.0,37650000.0,黑化股份,09,1342517162.0
