,Date,Rise/Fall,Month
0,2005/1/1,-0.0451,1
1,2006/1/1,0.0933,1
2,2007/1/1,0.1687,1
3,2008/1/1,-0.1345,1
4,2009/1/1,0.1183,1
5,2010/1/1,-0.1039,1
6,2011/1/1,-0.0165,1
7,2012/1/1,0.0505,1
8,2005/4/1,-0.0104,4
9,2006/4/1,0.1049,4
10,2007/4/1,0.2793,4
11,2008/4/1,0.0445,4
12,2009/4/1,0.0459,4
13,2010/4/1,-0.0832,4
14,2011/4/1,-0.0095,4
15,2012/4/1,0.0698,4
16,2005/7/1,0.0108,7
17,2006/7/1,-0.0715,7
18,2007/7/1,0.185,7
19,2008/7/1,0.0048,7
20,2009/7/1,0.1794,7
21,2010/7/1,0.1193,7
22,2011/7/1,-0.0237,7
23,2012/7/1,-0.0523,7
24,2005/10/1,-0.0448,10
25,2006/10/1,0.0436,10
26,2007/10/1,0.0193,10
27,2008/10/1,-0.2585,10
28,2009/10/1,0.0917,10
29,2010/10/1,0.1514,10
30,2011/10/1,0.0441,10
31,2012/10/1,-0.0167,10
