,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,600585,2005-01-01,A,16067170033.0,9428708447.0,6638461586.0,6113974974.0,3314733473.0,海螺水泥,01,7771341710.5,0.3911892108823477
5,600585,2006-01-01,A,19242026310.0,12387798914.0,6854227396.0,7397024732.0,4990774182.0,海螺水泥,01,9892411823.0,0.3661353779884941
10,600585,2007-01-01,A,22935880066.0,14066025140.0,8869854926.0,6832144607.0,7233880533.0,海螺水泥,01,10449084873.5,0.33878261280780514
15,600585,2008-01-01,A,31040609420.0,19492845449.0,11547763971.0,9600434119.0,9892411330.0,海螺水泥,01,14546639784.0,0.3356054357831374
20,600585,2009-01-01,A,42532122806.0,17263915962.0,25268206844.0,11174233481.0,6089682481.0,海螺水泥,01,14219074721.5,0.4258297668095594
25,600585,2010-01-01,A,47148497829.0,17845617679.0,29302880150.0,12073310913.0,5772306766.0,海螺水泥,01,14959464296.0,0.4359431099757845
30,600585,2011-01-01,A,60411852826.0,24780031228.0,35631821598.0,13077027304.0,11703003924.0,海螺水泥,01,18928529266.0,0.4001074990827372
35,600585,2012-01-01,A,84003416301.0,37161701410.0,46841714891.0,16991329058.0,20170372352.0,海螺水泥,01,27076515234.0,0.37721493998999334
1,600585,2005-03-31,A,16335735204.0,9874491049.0,6461244155.0,6413340455.0,3461150594.0,海螺水泥,03,8143915752.0,0.3884868686177506
6,600585,2006-03-31,A,19789636557.0,12890397437.0,6899239120.0,6721508600.0,6168888837.0,海螺水泥,03,9805953018.5,0.3404018733292562
11,600585,2007-03-31,A,23498147412.0,14637751325.0,8860396087.0,6338754257.0,8298997068.0,海螺水泥,03,10488252791.0,0.3196167553930013
16,600585,2008-03-31,A,32715782671.0,20774088516.0,11941694155.0,11406191092.0,9367897424.0,海螺水泥,03,16090139804.0,0.3516698791970822
21,600585,2009-03-31,A,41584413746.0,15415489725.0,26168924021.0,9248232334.0,6167257391.0,海螺水泥,03,12331861029.5,0.42351300355611166
26,600585,2010-03-31,A,50459741791.0,20428885639.0,30030856152.0,10541855662.0,9887029977.0,海螺水泥,03,15485370650.5,0.3992961271750993
31,600585,2011-03-31,A,63618327842.0,24987667824.0,38630660018.0,13187254364.0,11800413460.0,海螺水泥,03,19087461094.0,0.40430794771282624
36,600585,2012-03-31,A,81842027942.0,33694273877.0,48147754065.0,17211838425.0,16482435452.0,海螺水泥,03,25453056151.0,0.3965554016062999
2,600585,2005-06-30,A,17529760080.0,11076551914.0,6453208166.0,7503144144.0,3573407770.0,海螺水泥,06,9289848029.0,0.39269800724911746
7,600585,2006-06-30,A,20326192513.0,12930674959.0,7395517554.0,6245117328.0,6685557631.0,海螺水泥,06,9587896143.5,0.33182329505485497
12,600585,2007-06-30,A,25660649028.0,15920682855.0,9739966173.0,7101076721.0,8819606134.0,海螺水泥,06,11510879788.0,0.32335698698019266
17,600585,2008-06-30,A,41788671520.0,17776511288.0,24012160232.0,9942044512.0,7834466776.0,海螺水泥,06,13859277900.0,0.40259162859340764
22,600585,2009-06-30,A,42199551519.0,15611519626.0,26588031893.0,9777344260.0,5834175366.0,海螺水泥,06,12694431943.0,0.42841732345842903
27,600585,2010-06-30,A,52388704796.0,22229039592.0,30159665204.0,11741705605.0,10487333987.0,海螺水泥,06,16985372598.5,0.39722048358839923
32,600585,2011-06-30,A,77490723485.0,35607194718.0,41883528767.0,14653884708.0,20953310010.0,海螺水泥,06,25130539713.0,0.3616705896033979
37,600585,2012-06-30,A,81893195179.0,34253606705.0,47639588474.0,17637047448.0,16616559257.0,海螺水泥,06,25945327076.5,0.39588935780750983
3,600585,2005-09-30,A,18165183820.0,11543032875.0,6622150945.0,7983574848.0,3559458027.0,海螺水泥,09,9763303861.5,0.3972373007359149
8,600585,2006-09-30,A,21397538853.0,13529061603.0,7868477250.0,6053107205.0,7475954398.0,海螺水泥,09,9791084404.0,0.321522645083545
13,600585,2007-09-30,A,27694442477.0,17291260303.0,10403182174.0,7513757845.0,9777502457.0,海螺水泥,09,12402509073.5,0.31849251335220663
18,600585,2008-09-30,A,40866702760.0,16288745605.0,24577957155.0,9996643264.0,6292102341.0,海螺水泥,09,13142694434.5,0.42005564244722227
23,600585,2009-09-30,A,42684565872.0,15113748258.0,27570817614.0,9206261051.0,5907487207.0,海螺水泥,09,12160004654.5,0.42829059141575304
28,600585,2010-09-30,A,55726851523.0,23445317481.0,32281534042.0,12702480213.0,10742837268.0,海螺水泥,09,18073898847.0,0.40098710677218824
33,600585,2011-09-30,A,79489088509.0,35512930959.0,43976157550.0,14972924004.0,20540006955.0,海螺水泥,09,25242927481.5,0.36774218258607644
38,600585,2012-09-30,A,84590688334.0,36184952242.0,48405736092.0,19364366142.0,16820586100.0,海螺水泥,09,27774659192.0,0.39774050180054055
